flight_number,departure_airport,arrival_airport,departure_date,arrival_date,departure_time,arrival_time,airline,passenger_count,flight_duration
2394,BFO,BCI,03/06/2022,04/22/2022,1:30 AM,12:16 PM,American,257,3
4922,BFO,FYM,10/15/2022,11/02/2022,9:37 PM,12:37 PM,Delta,350,17
3804,BFO,BFO,07/03/2022,10/10/2022,10:54 AM,8:44 PM,Delta,468,4
7311,ESP,BFO,07/26/2022,03/04/2022,10:19 AM,12:2 AM,United,315,2
3523,PMP,BZF,11/09/2022,06/18/2022,9:41 AM,5:24 PM,Delta,175,3
9183,BZF,BFX,02/23/2022,01/02/2022,10:58 AM,12:52 AM,Delta,346,7
4022,BZB,BFX,05/10/2022,05/11/2022,5:20 PM,3:15 PM,American,28,21
5114,FYM,ESP,02/21/2022,08/23/2022,3:24 AM,4:43 PM,Delta,79,23
4952,BFX,YFX,10/12/2022,11/08/2022,6:29 PM,12:12 PM,American,138,4
9413,YFX,YFX,10/07/2022,06/07/2022,5:21 AM,3:12 AM,Delta,395,8
2739,BZB,FYM,02/08/2022,07/06/2022,9:34 AM,4:11 PM,Delta,177,1
6644,YCY,BZF,09/21/2022,03/09/2022,11:37 AM,4:50 PM,United,355,9
8087,BFX,YFX,01/31/2022,09/03/2022,4:8 PM,3:37 AM,United,392,7
9857,YFX,BCI,09/16/2022,11/18/2022,12:49 AM,12:25 PM,Delta,161,15
4530,YCY,PMP,09/10/2022,03/20/2022,6:16 AM,9:45 AM,American,490,22
8298,PMP,BFX,03/06/2022,04/22/2022,7:1 PM,10:40 AM,Delta,231,15
5546,BZF,PMP,01/19/2022,06/05/2022,3:37 PM,1:27 AM,Delta,457,18
7216,BCI,BFX,09/25/2022,11/08/2022,8:5 PM,12:57 AM,United,139,14
9484,PMP,BZF,10/20/2022,02/22/2022,2:25 PM,9:53 PM,Delta,49,21
3139,FYM,BZB,04/15/2022,10/25/2022,4:23 PM,7:40 AM,American,391,7
4369,FYM,BZF,12/20/2022,09/19/2022,7:52 PM,7:25 AM,American,262,2
8712,YFX,FYM,02/02/2022,08/04/2022,5:57 PM,10:43 PM,United,77,20
6409,BZF,FYM,09/20/2022,08/14/2022,2:44 AM,1:43 PM,American,475,13
8008,BZB,YFX,09/04/2022,09/28/2022,8:38 PM,11:3 PM,United,424,10
3798,BCI,BCI,08/30/2022,09/20/2022,8:36 AM,12:38 AM,American,487,16
5127,BCI,BZF,06/17/2022,12/21/2022,8:35 PM,9:3 AM,Delta,189,9
3667,BZB,YFX,03/18/2022,03/15/2022,1:40 PM,3:42 AM,Delta,231,4
3550,FYM,BFX,08/24/2022,06/10/2022,6:11 AM,8:21 AM,Delta,29,4
3450,BFO,FYM,11/11/2022,05/24/2022,10:25 PM,12:2 AM,American,262,9
8267,ESP,BZF,11/25/2022,10/11/2022,4:45 AM,11:3 PM,United,46,14
2130,BCI,PMP,09/22/2022,09/04/2022,9:25 AM,1:10 PM,United,422,18
6047,BFO,BZF,08/18/2022,09/11/2022,4:26 PM,3:49 PM,Delta,228,4
8966,YCY,YFX,05/26/2022,12/04/2022,9:55 PM,5:31 PM,Delta,57,12
3821,PMP,BFX,02/03/2022,03/29/2022,1:17 PM,10:0 PM,American,106,7
5997,BCI,FYM,11/12/2022,05/31/2022,1:13 PM,11:43 AM,American,443,16
2544,BFO,ESP,09/22/2022,11/26/2022,8:17 AM,10:0 PM,American,413,6
5782,BZB,BZB,08/28/2022,06/29/2022,11:1 PM,2:9 AM,American,124,18
9345,YCY,ESP,03/10/2022,05/21/2022,1:19 AM,2:20 AM,American,279,19
5447,BCI,BZB,04/21/2022,05/31/2022,3:45 AM,8:38 PM,Delta,55,24
1949,BZB,BZB,05/27/2022,01/10/2022,3:8 AM,7:13 PM,Delta,84,10
9905,ESP,FYM,10/16/2022,10/13/2022,4:6 AM,10:57 AM,Delta,432,11
6136,PMP,BZF,02/13/2022,11/04/2022,8:6 PM,12:50 PM,Delta,30,12
8938,ESP,BFX,11/19/2022,10/25/2022,7:3 PM,10:36 AM,American,235,19
5940,YFX,BFX,08/22/2022,03/31/2022,6:6 PM,6:35 AM,Delta,323,21
8992,BFX,BZB,12/19/2022,12/26/2022,4:37 PM,3:51 AM,American,158,2
2422,BFO,BZB,07/14/2022,06/25/2022,5:38 PM,3:25 AM,Delta,70,13
6656,BZB,BFO,02/06/2022,01/13/2022,2:39 AM,6:2 AM,United,69,23
5459,BCI,ESP,07/03/2022,06/14/2022,9:3 AM,5:58 PM,Delta,358,9
8328,YCY,FYM,04/01/2022,05/10/2022,4:53 PM,12:19 PM,Delta,366,7
6400,BCI,FYM,07/18/2022,06/09/2022,8:29 PM,1:54 PM,Delta,299,2
9656,BFO,BCI,04/25/2022,06/13/2022,3:37 AM,11:43 PM,United,474,1
2375,BFX,BCI,03/30/2022,03/15/2022,1:47 AM,6:20 PM,Delta,232,15
5227,YFX,BFO,08/01/2022,05/29/2022,4:52 PM,5:53 PM,Delta,237,24
9584,BZF,YFX,05/13/2022,05/18/2022,10:16 AM,9:9 PM,American,260,5
4232,YCY,ESP,05/20/2022,05/07/2022,4:31 PM,9:5 AM,Delta,74,8
7606,YFX,FYM,03/08/2022,12/01/2022,3:59 PM,11:57 PM,Delta,82,4
2006,YFX,YFX,12/14/2022,11/09/2022,11:43 PM,12:20 PM,United,470,8
9280,PMP,ESP,09/10/2022,10/09/2022,11:37 PM,4:22 PM,Delta,6,24
1223,YFX,ESP,12/13/2022,02/10/2022,9:49 PM,5:8 AM,Delta,50,9
9488,FYM,PMP,01/26/2022,01/13/2022,5:17 PM,7:24 AM,Delta,442,11
4835,BFO,BZF,10/13/2022,10/27/2022,9:32 AM,11:8 AM,United,361,23
4133,PMP,BFX,07/03/2022,02/18/2022,11:24 AM,1:0 PM,United,449,17
8147,BFO,BZF,07/11/2022,10/26/2022,6:17 PM,5:15 PM,American,246,11
8392,YFX,PMP,02/12/2022,07/10/2022,4:28 AM,9:25 AM,Delta,263,12
2327,FYM,BFX,12/11/2022,04/10/2022,1:14 PM,3:21 PM,Delta,287,20
6550,BFX,BFO,11/02/2022,06/30/2022,12:0 AM,9:45 AM,American,186,8
5189,BZF,BZB,09/26/2022,06/28/2022,4:27 AM,10:55 AM,Delta,470,24
6752,YFX,FYM,04/02/2022,09/01/2022,5:54 AM,9:43 AM,United,50,23
3751,BZF,YFX,05/24/2022,01/16/2022,7:1 PM,7:20 AM,American,440,7
4060,PMP,FYM,08/14/2022,12/25/2022,5:32 PM,5:3 AM,United,338,16
9869,ESP,BFX,05/31/2022,04/20/2022,8:56 PM,7:47 AM,United,316,24
9753,BZB,BZF,02/17/2022,09/14/2022,12:26 PM,8:10 PM,American,260,12
1714,ESP,YFX,07/09/2022,05/10/2022,7:21 AM,4:36 PM,American,164,4
3840,BZB,ESP,03/09/2022,05/04/2022,3:15 PM,9:14 AM,Delta,224,6
